WASHINGTON CONGRESSIONAL DISTRICTS BY SCHOOL DISTRICTS
 
Note: If there are two different school districts in the same state with the same name, the
county name is added in parentheses after the school district name to distinguish them.
 
School District                                                                           109th Congressional District
ORONDO                                                                                    4                             
OROVILLE                                                                                  5                             
ORTING                                                                                    8                             
OTHELLO                                                                                   4,5                           
PALISADES                                                                                 4                             
PALOUSE                                                                                   5                             
PASCO                                                                                     4                             
PATEROS                                                                                   4,5                           
PATERSON                                                                                  4                             
PE ELL                                                                                    3                             
PENINSULA                                                                                 6                             
PIONEER                                                                                   6                             
POMEROY                                                                                   5                             
PORT ANGELES                                                                              6                             
PORT TOWNSEND                                                                             6                             
PRESCOTT                                                                                  5                             
PROSSER                                                                                   4                             
PULLMAN                                                                                   5                             
PUYALLUP                                                                                  8,9                           
QUEETS-CLEARWATER                                                                         6                             
QUILCENE                                                                                  6                             
QUILLAYUTE VALLEY                                                                         6                             
QUINAULT                                                                                  6                             
QUINCY                                                                                    4                             
RAINIER                                                                                   3,9                           
RAYMOND                                                                                   3                             
REARDAN-EDWALL                                                                            5                             
RENTON                                                                                    7-9                           
REPUBLIC                                                                                  5                             
RICHLAND                                                                                  4                             
RIDGEFIELD                                                                                3                             
RITZVILLE                                                                                 5                             
RIVERSIDE                                                                                 5                             
RIVERVIEW                                                                                 1,8                           
ROCHESTER                                                                                 3,6                           
ROOSEVELT                                                                                 4                             
ROSALIA                                                                                   5                             
ROYAL                                                                                     4                             
SAN JUAN ISLAND                                                                           2                             
SATSOP                                                                                    6                             
SEATTLE                                                                                   1,7                           
SEDRO-WOOLLEY                                                                             2                             
SELAH                                                                                     4                             
SELKIRK                                                                                   5                             
SEQUIM                                                                                    6                             
SHAW ISLAND                                                                               2                             
SHELTON                                                                                   6                             
SHORELINE                                                                                 1,7                           
SKAMANIA                                                                                  3                             
SKYKOMISH                                                                                 2,8                           
SNOHOMISH                                                                                 1,2                           
SNOQUALMIE VALLEY                                                                         2,8                           
SOAP LAKE                                                                                 4                             
SOUTH BEND                                                                                3                             
SOUTH KITSAP                                                                              6                             
SOUTH WHIDBEY                                                                             2                             
SOUTHSIDE                                                                                 6                             
SPOKANE                                                                                   5                             
SPRAGUE                                                                                   5                             
ST JOHN                                                                                   5                             
STANWOOD                                                                                  2                             
STAR                                                                                      4                             
STARBUCK                                                                                  5                             
STEHEKIN                                                                                  4                             
STEILACOOM                                                                                6,9                           
STEPTOE                                                                                   5                             
STEVENSON-CARSON                                                                          3,4                           
SULTAN                                                                                    2                             
SUMMIT VALLEY                                                                             5                             
SUMNER                                                                                    8,9                           
SUNNYSIDE                                                                                 4                             
TACOMA                                                                                    6,9                           
TAHOLAH                                                                                   6                             
TAHOMA                                                                                    8                             
TEKOA                                                                                     5                             
TENINO                                                                                    3                             
THORP                                                                                     4                             
TOLEDO                                                                                    3                             
TONASKET                                                                                  5                             
TOPPENISH                                                                                 4                             
TOUCHET                                                                                   5                             
TOUTLE LAKE                                                                               3                             
TROUT LAKE                                                                                4                             
TUKWILA                                                                                   7,9                           
TUMWATER                                                                                  3                             
UNION GAP                                                                                 4                             
UNIVERSITY PLACE                                                                          6                             
VADER                                                                                     3                             
VALLEY                                                                                    5                             
VANCOUVER                                                                                 3                             
VASHON ISLAND                                                                             7                             
WAHKIAKUM                                                                                 3                             
WAHLUKE                                                                                   4                             
WAITSBURG                                                                                 5                             
WALLA WALLA                                                                               5                             
WAPATO                                                                                    4                             
WARDEN                                                                                    4,5                           
WASHOUGAL                                                                                 3                             
WASHTUCNA                                                                                 4,5                           
WATERVILLE                                                                                4                             
WELLPINIT                                                                                 5                             
WENATCHEE                                                                                 4                             
WEST VALLEY (SPK)                                                                         5                             
WEST VALLEY (YAK)                                                                         4                             
WHITE PASS                                                                                3                             
WHITE RIVER                                                                               8                             
WHITE SALMON                                                                              4                             
WILBUR                                                                                    5                             
WILLAPA VALLEY                                                                            3                             
WILSON CREEK                                                                              4,5                           
WINLOCK                                                                                   3                             
WISHKAH VALLEY                                                                            6                             
WISHRAM                                                                                   4                             
WOODLAND                                                                                  3                             
YAKIMA                                                                                    4                             
YELM                                                                                      3,9                           
ZILLAH                                                                                    4                             
