Common Core of Data CD-ROM -- School Years 1996-1997 through 1999-2000
School Year 1998-99 Public School Universe data
Corrections to Agency Locale Codes
using Version 1c of the Public School Universe data files, dated June 2001

                                                          |     Locale Code     |
2607800 CAPAC COMMUNITY SCHOOL DISTRIC                    |     7         8     |
2610020 CLIMAX-SCOTTS COMMUNITY SCHOOL                    |     4         8     |
2610050 CLINTON COMMUNITY SCHOOLS                         |     3         8     |
2610200 COLEMAN COMMUNITY SCH. DISTRIC                    |     3         8     |
2610650 CONCORD COMMUNITY SCHOOLS                         |     7         8     |
2610980 COVERT PUBLIC SCHOOLS                             |     7         8     |
2611730 DEERFIELD PUBLIC SCHOOLS                          |     7         8     |
2612240 DRYDEN COMMUNITY SCHOOLS                          |     7         8     |
2612810 EAU CLAIRE PUBLIC SCHOOLS                         |     7         8     |
2614230 FENNVILLE PUBLIC SCHOOLS                          |     7         8     |
2614700 FOWLER PUBLIC SCHOOLS                             |     4         8     |
2615060 FREELAND COMMUNITY SCH. DISTRI                    |     7         8     |
2615450 GALESBURG-AUGUSTA COMM. SCHOOL                    |     7         8     |
2615480 GALIEN TOWNSHIP SCHOOL DISTRIC                    |     7         8     |
2616050 GOBLES PUBLIC SCHOOL DISTRICT                     |     6         8     |
2616830 GRASS LAKE COMMUNITY SCHOOLS                      |     7         8     |
2617250 GULL LAKE COMMUNITY SCHOOLS                       |     4         8     |
2617340 HAGAR TOWNSHIP S/D #6                             |     7         8     |
2617400 HAMILTON COMMUNITY SCHOOLS                        |     2         8     |
2617640 HANOVER-HORTON SCHOOLS                            |     3         4     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
2617910 HARTLAND CONSOLIDATED SCHOOLS                     |     7         8     |
2617970 HASTINGS AREA SCHOOL DISTRICT                     |     3         6     |
2618180 HEMLOCK PUBLIC SCHOOL DISTRICT                    |     7         8     |
2618510 HOLTON PUBLIC SCHOOLS                             |     7         8     |
2618540 HOMER COMMUNITY SCHOOLS                           |     7         8     |
2618570 HOPKINS PUBLIC SCHOOLS                            |     7         8     |
2618840 HUDSONVILLE PUBLIC SCH. DISTRI                    |     7         4     |
2620280 KENOWA HILLS PUBLIC SCHOOLS                       |     2         4     |
2620940 LAKEVILLE COMMUNITY SCHOOLS                       |     7         8     |
2621180 LAPEER COMMUNITY SCHOOLS                          |     4         8     |
2622050 LOWELL AREA SCHOOLS                               |     7         4     |
2622980 MARTIN PUBLIC SCHOOLS                             |     7         8     |
2624180 MONTAGUE AREA PUBLIC SCHOOLS                      |     6         8     |
2624420 MONTROSE COMMUNITY SCHOOLS                        |     7         8     |
2624960 NAPOLEON COMMUNITY SCHOOLS                        |     7         8     |
2625230 NEW HAVEN COMMUNITY SCHOOLS                       |     7         8     |
2625680 NORTH BRANCH AREA SCHOOLS                         |     7         8     |
2626370 OLIVET COMMUNITY SCHOOLS                          |     7         8     |
2626520 ONSTED COMMUNITY SCHOOLS                          |     7         8     |
2627960 PEWAMO-WESTPHALIA COMM. SCHOOL                    |     7         4     |
2628140 PINCKNEY COMMUNITY SCHOOLS                        |     7         8     |
2628530 PLAINWELL COMMUNITY SCHOOLS                       |     7         4     |
2629160 POTTERVILLE PUBLIC SCHOOLS                        |     7         8     |
2629790 RIVER VALLEY SCHOOL DISTRICT                      |     7         8     |
2632820 ST. JOHNS PUBLIC SCHOOLS                          |     7         4     |
2633030 STOCKBRIDGE COMMUNITY SCHOOLS                     |     7         8     |
2633750 TEKONSHA COMMUNITY SCHOOLS                        |     7         8     |
2634950 VICKSBURG COMMUNITY SCHOOLS                       |     7         8     |
2635550 WAYLAND UNION SCHOOLS                             |     7         4     |
2636600 YALE PUBLIC SCHOOLS                               |     7         8     |
2680160 BERRIEN ISD                                       |     7         8     |
2680520 INGHAM ISD                                        |     7         4     |
2680660 LAPEER ISD                                        |     7         3     |
2700008 ST. LOUIS COUNTY                                  |     3         8     |
2700045 MEEKER & WRIGHT SP ED COOP                        |     7         8     |
2700055 HIAWATHA VALLEY ED. DIST.                         |     4         6     |
2700105 BELGRADE-BROOTEN-ELROSA                           |     7         8     |
2700114 RIGHT STEP ACADEMY                                |     7         1     |
2700123 HOWARD LAKE-WAVERLY-WINSTED                       |     7         8     |
2700137 SUMMIT SCHOOL FOR THE ARTS                        |     7         8     |
2700143 CENTRAL MINNESOTA JOINT POWERS                    |     7         8     |
2702930 ALBANY                                            |     7         8     |
2703150 ANNANDALE                                         |     3         8     |
2703660 BARNESVILLE                                       |     7         8     |
2706060 BRAHAM                                            |     7         8     |
2707200 BUFFALO                                           |     4         3     |
2707350 BYRON                                             |     7         8     |
2708880 FRANCONIA                                         |     7         8     |
2709360 CLIMAX                                            |     7         8     |
2709440 COLD SPRING                                       |     7         8     |
2710060 DASSEL-COKATO                                     |     7         8     |
2710260 DILWORTH-GLYNDON-FELTON                           |     7         4     |
2711370 ELK RIVER                                         |     7         3     |
2711820 FARMINGTON                                        |     7         3     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
2711910 FERTILE-BELTRAMI                                  |     3         8     |
2712300 FOSSTON                                           |     7         8     |
2713560 HAWLEY                                            |     3         8     |
2714190 HOLDINGFORD                                       |     4         8     |
2714280 HOUSTON                                           |     7         8     |
2717220 KIMBALL                                           |     7         8     |
2717250 LACRESCENT-HOKAH                                  |     7         4     |
2723820 NORTH BRANCH                                      |     7         8     |
2723910 NORWOOD                                           |     7         8     |
2730150 RANDOLPH                                          |     6         8     |
2732070 ROCKFORD                                          |     6         8     |
2732550 RUSH CITY                                         |     7         8     |
2732880 SAUK RAPIDS                                       |     7         4     |
2733300 SPRING GROVE                                      |     6         8     |
2733510 ST. CLOUD                                         |     5         2     |
2733540 ST. FRANCIS                                       |     7         3     |
2733720 NETT LAKE                                         |     7         8     |
2738190 STILLWATER                                        |     7         3     |
2740810 ULEN-HITTERDAL                                    |     7         8     |
2791449 WIN-E-MAC                                         |     7         8     |
2800001 MISSISSIPPI STATE HOSPITAL                        |     8         4     |
2801196 HUDSPETH CENTER ADMINISTRATION                    |     7         4     |
2801510 FORREST COUNTY AG HIGH SCHOOL                     |     7         4     |
2801740 HANCOCK CO SCHOOL DIST                            |     7         8     |
2801770 HARRISON CO SCHOOL DIST                           |     7         2     |
2801840 HINDS CO AHS                                      |     7         8     |
2801860 HINDS CO SCHOOL DIST                              |     7         8     |
2802160 JACKSON CO SCHOOL DIST                            |     8         4     |
2802400 LAMAR COUNTY SCHOOL DISTRICT                      |     7         8     |
2802760 LUMBERTON PUBLIC SCHOOL                           |     7         8     |
2803830 RANKIN CO SCHOOL DIST                             |     7         8     |
2900009 DIVISION OF YOUTH SERVICES                        |     4         8     |
2902577 STATE SCHOOLS SEVERELY HANDICP                    |     7         6     |
2903000 SANTA FE R-X                                      |     7         8     |
2908430 CHADWICK R-I                                      |     3         8     |
2909780 CLEVER R-V                                        |     7         8     |
2910080 CONCORDIA R-II                                    |     7         8     |
2910320 SHERWOOD CASS R-VIII                              |     7         8     |
2910590 BUCHANAN CO. R-IV                                 |     3         8     |
2910800 DIAMOND R-IV                                      |     2         8     |
2911070 DREXEL R-IV                                       |     3         8     |
2911160 EAST LYNNE 40                                     |     6         8     |
2911250 EAST BUCHANAN CO. C-1                             |     6         8     |
2911400 ELSBERRY R-II                                     |     7         8     |
2911700 FAIR GROVE R-X                                    |     7         8     |
2911940 MID-BUCHANAN CO. R-V                              |     6         4     |
2912180 FORDLAND R-III                                    |     6         8     |
2913080 GRAIN VALLEY R-V                                  |     7         8     |
2913680 HARDIN-CENTRAL C-2                                |     6         8     |
2916450 KEARNEY R-I                                       |     7         8     |
2918220 LAWSON R-XIV                                      |     7         8     |
2919170 GREENE CO. R-VIII                                 |     6         8     |
2919200 LONEDELL R-XIV                                    |     6         3     |
2920670 MEHLVILLE R-IX                                    |     6         3     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
2921060 MISSOURI CITY 56                                  |     6         8     |
2921810 NEOSHO R-V                                        |     6         4     |
2921960 NEW HAVEN                                         |     6         8     |
2922500 NIANGUA R-V                                       |     7         8     |
2922710 NORTH ANDREW CO. R-VI                             |     7         8     |
2922830 NORTH PLATTE CO. R-I                              |     7         8     |
2922890 NORTHWEST R-I                                     |     7         8     |
2923340 GASCONADE CO. R-II                                |     6         7     |
2923460 MERAMEC VALLEY R-III                              |     6         3     |
2923730 RAYMORE-PECULIAR R-II                             |     6         8     |
2927540 SARCOXIE R-II                                     |     6         8     |
2927570 SAVANNAH R-III                                    |     7         4     |
2927900 SENECA R-VII                                      |     7         8     |
2928290 SILEX R-I                                         |     7         8     |
2928740 SPARTA R-III                                      |     7         8     |
2929470 STET R-XV                                         |     6         3     |
2929640 STRAFFORD R-VI                                    |     3         8     |
2929670 STRASBURG C-3                                     |     6         8     |
2929700 STURGEON R-V                                      |     7         8     |
2930420 EAST NEWTON CO. R-VI                              |     7         8     |
2930450 TROY R-III                                        |     7         3     |
2930990 WALNUT GROVE R-V                                  |     3         8     |
2931500 WEBB CITY R-VII                                   |     7         4     |
2931560 WELLINGTON-NAPOLEON R-IX                          |     6         8     |
2932010 WILLARD R-II                                      |     7         8     |
2932190 WINFIELD R-IV                                     |     6         8     |
2932310 WRIGHT CITY R-II                                  |     6         8     |
3004890 BROADVIEW ELEM                                    |     6         8     |
3004920 BROADVIEW H S                                     |     6         8     |
3005310 BUTTE H S                                         |     3         7     |
3008130 CUSTER K-12 SCHOOLS                               |     3         4     |
3010920 EVERGREEN ELEM                                    |     3         7     |
3018570 MISSOULA ELEM                                     |     7         5     |
3024300 SUN RIVER VALLEY ELEM                             |     6         4     |
3024330 SIMMS H S                                         |     3         4     |
3025130 CENTERVILLE ELEM                                  |     7         4     |
3025140 CENTERVILLE H S                                   |     7         4     |
3026880 ULM ELEM                                          |     7         4     |
3100021 WAVERLY PUBLIC SCHOOLS                            |     7         8     |
3100071 TEKAMAH-HERMAN COMMUNITY SCHS                     |     6         7     |
3100088 NORRIS SCHOOL DIST 160                            |     7         8     |
3103990 BENNINGTON PUBLIC SCHOOLS                         |     7         8     |
3104950 RAYMOND CENTRAL SCHOOLS                           |     7         4     |
3163000 WASHINGTON PUBLIC SCHOOL                          |     6         8     |
3167380 OLIVE BRANCH PUBLIC SCHOOL                        |     7         8     |
3170110 ELKHORN PUBLIC SCHOOLS                            |     7         8     |
3173050 LOUISVILLE PUBLIC SCHOOLS                         |     1         8     |
3174200 CONESTOGA PUBLIC SCHOOLS                          |     3         8     |
3176860 SO SIOUX CITY COMMUNITY SCHS                      |     7         4     |
3178030 VALLEY PUBLIC SCHOOLS                             |     4         8     |
3178360 WATERLOO PUBLIC SCHOOLS                           |     7         8     |
3180030 EDUCATIONAL SERVICE UNIT 3                        |     7         8     |
3200090 DOUGLAS COUNTY SCHOOL DISTRICT                    |     3         7     |
3200120 ELKO COUNTY SCHOOL DISTRICT                       |     2         7     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
3200240 LANDER COUNTY SCHOOL DISTRICT                     |     4         7     |
3200360 NYE COUNTY SCHOOL DISTRICT                        |     4         3     |
3200480 WASHOE COUNTY SCHOOL DISTRICT                     |     7         2     |
3300017 EXETER REGION COOPERATIVE                         |     6         3     |
3300616 MILTON SCH DIST                                   |     7         8     |
3301650 BARRINGTON SCH DIST                               |     6         8     |
3302070 BROOKLINE SCH DIST                                |     3         8     |
3303540 HAMPTON FALLS SCH DIST                            |     7         8     |
3304030 JAFFREY-RINDGE COOP SCH DIST                      |     8         7     |
3304380 LITTLETON SCH DIST                                |     6         7     |
3304950 MONT VERNON SCH DIST                              |     7         8     |
3305580 PEMBROKE SCH DIST                                 |     4         7     |
3306720 TIMBERLANE REGIONAL SCH DIST                      |     7         8     |
3307110 WILTON SCH DIST                                   |     6         8     |
3400810 ALLOWAY TWP                                       |     7         8     |
3401110 AVALON BORO                                       |     7         8     |
3401200 BASS RIVER TWP                                    |     7         8     |
3401290 BEACH HAVEN BORO                                  |     6         8     |
3403480 COMMERCIAL TWP                                    |     7         8     |
3403620 CUMBERLAND REGIONAL                               |     6         8     |
3403660 DEERFIELD TWP                                     |     7         8     |
3403720 DELAWARE TWP                                      |     4         8     |
3403840 DENNIS TWP                                        |     7         8     |
3403960 DOWNE TWP                                         |     6         8     |
3404650 ELMER BORO                                        |     6         8     |
3405130 FARMINGDALE BORO                                  |     7         8     |
3405340 FRANKFORD TWP                                     |     7         8     |
3405460 FRANKLIN TWP                                      |     7         8     |
3405940 GLEN RIDGE BORO                                   |     8         3     |
3406090 GREEN TWP                                         |     7         8     |
3406150 GREENWICH TWP                                     |     6         8     |
3406600 HAMPTON BORO                                      |     3         8     |
3407470 HOPE TWP                                          |     6         8     |
3407530 HOPEWELL VALLEY REGIONAL                          |     6         3     |
3407560 HOWELL TWP                                        |     7         8     |
3407980 KINGSWAY REGIONAL                                 |     6         8     |
3408070 KNOWLTON TWP                                      |     3         8     |
3408910 LONG BEACH ISLAND                                 |     6         8     |
3409510 MANSFIELD TWP                                     |     7         8     |
3409780 MAURICE RIVER TWP                                 |     5         8     |
3411070 MULLICA TWP                                       |     7         8     |
3411520 NORTH CALDWELL BORO                               |     7         3     |
3411980 OCEAN CO VOC-TECH                                 |     7         3     |
3412210 OLDMANS TWP                                       |     6         8     |
3412810 PEMBERTON TWP                                     |     6         3     |
3413260 POHATCONG TWP                                     |     8         3     |
3413380 PORT REPUBLIC CITY                                |     6         8     |
3413620 RANCOCAS VALLEY REGIONAL                          |     6         3     |
3414220 ROOSEVELT BORO                                    |     7         8     |
3414610 SANDYSTON-WALPACK TWP                             |     6         8     |
3415270 SOUTH HARRISON TWP                                |     6         8     |
3415750 STILLWATER TWP                                    |     6         8     |
3416560 UPPER FREEHOLD REGIONAL                           |     7         8     |
3417460 WEST ESSEX REGIONAL                               |     8         3     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
3417700 W WINDSOR-PLAINSBORO REG                          |     7         8     |
3418240 WOODLAND TWP                                      |     7         8     |
3500060 ALBUQUERQUE PUBLIC SCHOOLS                        |     4         1     |
3500210 BERNALILLO PUBLIC SCHOOLS                         |     7         3     |
3500390 CENTRAL CONSOLIDATED SCHOOLS                      |     6         7     |
3500660 CUBA INDEPENDENT SCHOOLS                          |     6         8     |
3501080 GADSDEN INDEPENDENT SCHOOLS                       |     7         4     |
3501230 HATCH VALLEY MUNICIPAL SCHOOLS                    |     7         8     |
3501380 JEMEZ MOUNTAIN PUBLIC SCHOOLS                     |     3         7     |
3501500 LAS CRUCES PUBLIC SCHOOLS                         |     7         2     |
3501680 LOS LUNAS PUBLIC SCHOOLS                          |     7         3     |
3502370 SANTA FE PUBLIC SCHOOLS                           |     7         2     |
3600010 COBLESKILL-RICHMONDVILLE CSD                      |     3         4     |
3600013 ONEIDA CITY SD                                    |     7         4     |
3600016 AVERILL PARK CSD                                  |     6         8     |
3602730 WINDSOR CSD                                       |     6         8     |
3602820 ALTMAR-PARISH-WILLIAMSTOWN CSD                    |     6         8     |
3603210 ARGYLE CSD                                        |     6         8     |
3603270 ARLINGTON CSD                                     |     7         3     |
3604530 BEMUS POINT CSD                                   |     7         8     |
3604920 EAST BLOOMFIELD CSD                               |     6         4     |
3605010 BOLTON CSD                                        |     6         8     |
3605040 ADIRONDACK CSD                                    |     4         8     |
3605310 BREWSTER CSD                                      |     6         8     |
3605370 BRIDGEHAMPTON UFSD                                |     7         8     |
3605670 BROOKFIELD CSD                                    |     6         8     |
3606240 CAMDEN CSD                                        |     6         4     |
3606300 CANAJOHARIE CSD                                   |     7         8     |
3606420 CANDOR CSD                                        |     7         8     |
3606660 CASSADAGA VALLEY CSD                              |     6         8     |
3606900 CENTRAL SQUARE CSD                                |     7         8     |
3607860 CLYDE-SAVANNAH CSD                                |     4         8     |
3608340 PEMBROKE CSD                                      |     6         8     |
3608850 DE RUYTER CSD                                     |     6         8     |
3609210 DOVER UFSD                                        |     7         8     |
3609360 DUANESBURG CSD                                    |     6         8     |
3609630 EAST GREENBUSH CSD                                |     8         4     |
3610230 EDINBURG COMN SD                                  |     6         8     |
3611190 FONDA-FULTONVILLE CSD                             |     7         8     |
3611280 FORT ANN CSD                                      |     6         8     |
3611370 FORT PLAIN CSD                                    |     6         8     |
3611610 FREWSBURG CSD                                     |     2         8     |
3612120 GILBOA-CONESVILLE CSD                             |     2         8     |
3612300 GORHAM-MIDDLESEX CSD (MARCUS W                    |     2         8     |
3612840 GREENPORT UFSD                                    |     7         8     |
3612900 GREENWICH CSD                                     |     7         8     |
3612990 SPRINGVILLE-GRIFFITH INST CSD                     |     7         3     |
3613590 HANNIBAL CSD                                      |     7         8     |
3613710 HARPURSVILLE CSD                                  |     7         8     |
3613830 HARTFORD CSD                                      |     7         8     |
3614400 HIGHLAND CSD                                      |     4         7     |
3614430 HIGHLAND FALLS CSD                                |     8         3     |
3614610 HOLLEY CSD                                        |     2         8     |
3614700 HONEOYE FALLS-LIMA CSD                            |     6         8     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
3615570 ITHACA CITY SD                                    |     7         5     |
3615720 JEFFERSON CSD                                     |     7         8     |
3615870 JOHNSBURG CSD                                     |     6         8     |
3615990 JORDAN-ELBRIDGE CSD                               |     6         8     |
3616470 LAKE GEORGE CSD                                   |     6         8     |
3616560 EVANS-BRANT CSD (LAKE SHORE)                      |     7         8     |
3616980 NORTH ROSE-WOLCOTT CSD                            |     6         8     |
3617640 LIVONIA CSD                                       |     6         8     |
3617970 LYNDONVILLE CSD                                   |     7         8     |
3619170 MEXICO CSD                                        |     7         8     |
3619260 MIDDLEBURGH CSD                                   |     6         8     |
3619380 MILLBROOK CSD                                     |     6         8     |
3619560 MINISINK VALLEY CSD                               |     2         8     |
3619650 MONROE-WOODBURY CSD                               |     3         8     |
3620970 NORTH COLLINS CSD                                 |     3         8     |
3621450 DALTON-NUNDA CSD (KESHEQUA)                       |     3         8     |
3621540 FIRE ISLAND UFSD                                  |     3         8     |
3622050 OSWEGO CITY SD                                    |     3         4     |
3622530 PAWLING CSD                                       |     7         8     |
3623040 PINE PLAINS CSD                                   |     2         8     |
3623370 POLAND CSD                                        |     6         8     |
3623430 PORT BYRON CSD                                    |     3         8     |
3623520 PORT JERVIS CITY SD                               |     6         3     |
3623970 PUTNAM CSD                                        |     6         8     |
3624240 RED HOOK CSD                                      |     6         8     |
3624360 REMSEN CSD                                        |     7         8     |
3624690 RIVERHEAD CSD                                     |     6         3     |
3625320 FLORIDA UFSD                                      |     6         8     |
3625650 SANDY CREEK CSD                                   |     6         8     |
3626100 SCHOHARIE CSD                                     |     6         8     |
3626160 SCHUYLERVILLE CSD                                 |     7         8     |
3626580 SHARON SPRINGS CSD                                |     6         8     |
3626640 SHELTER ISLAND UFSD                               |     6         8     |
3626760 SHERRILL CITY SD                                  |     3         8     |
3627120 SODUS CSD                                         |     7         8     |
3627660 SOUTHWESTERN CSD AT JAMESTOWN                     |     7         4     |
3627750 SPENCER-VAN ETTEN CSD                             |     7         8     |
3627930 ST JOHNSVILLE CSD                                 |     6         8     |
3628110 STILLWATER CSD                                    |     6         8     |
3628800 TOWN OF WEBB UFSD                                 |     6         8     |
3629130 TULLY CSD                                         |     6         8     |
3629190 TUXEDO UFSD                                       |     6         8     |
3629250 UNION SPRINGS CSD                                 |     7         8     |
3630160 WATERVILLE CSD                                    |     6         8     |
3630270 WAVERLY CSD                                       |     6         4     |
3630330 WAYNE CSD                                         |     3         8     |
3630420 WEEDSPORT CSD                                     |     3         8     |
3630930 BRIDGEWATER-WEST WINFIELD CSD                     |     6         8     |
3630990 WESTFIELD CSD                                     |     7         8     |
3631020 WESTHAMPTON BEACH UFSD                            |     7         8     |
3631050 WESTMORELAND CSD                                  |     6         8     |
3631440 WILLIAMSON CSD                                    |     6         8     |
3680900 BOCES TOMPKINS-SENECA-TIOGA                       |     6         7     |
3700011 CUMBERLAND COUNTY SCHOOLS                         |     4         2     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
3700012 PITT COUNTY SCHOOLS                               |     8         2     |
3700030 ALAMANCE-BURLINGTON SCHOOLS                       |     7         2     |
3700053 WOODS CHARTER                                     |     7         4     |
3700070 EAST WAKE ACADEMY                                 |     7         8     |
3700090 ALEXANDER COUNTY SCHOOLS                          |     6         8     |
3700420 BRUNSWICK COUNTY SCHOOLS                          |     7         8     |
3700450 BUNCOMBE COUNTY SCHOOLS                           |     6         4     |
3700580 CALDWELL COUNTY SCHOOLS                           |     7         2     |
3700630 CARTERET COUNTY SCHOOLS                           |     7         6     |
3700690 CATAWBA COUNTY SCHOOLS                            |     6         8     |
3700750 CHATHAM COUNTY SCHOOLS                            |     8         4     |
3701080 CURRITUCK COUNTY SCHOOLS                          |     7         3     |
3701530 FRANKLIN COUNTY SCHOOLS                           |     7         8     |
3702820 MADISON COUNTY SCHOOLS                            |     7         8     |
3704380 STOKES COUNTY SCHOOLS                             |     7         4     |
3705040 YADKIN COUNTY SCHOOLS                             |     7         8     |
3800044 NORTHERN CASS 97                                  |     7         8     |
3802320 BALDWIN 29                                        |     7         4     |
3804090 CENTRAL CASS 17                                   |     7         8     |
3806360 EMERADO 127                                       |     7         8     |
3806930 FLASHER 39                                        |     7         8     |
3807830 GLEN ULLIN 48                                     |     7         8     |
3809180 HEBRON 13                                         |     7         8     |
3810860 LARIMORE 44                                       |     7         8     |
3811540 LITTLE HEART 4                                    |     7         4     |
3812000 MANVEL 125                                        |     7         8     |
3812020 MAPLE VALLEY 4                                    |     7         8     |
3812030 MAPLETON 7                                        |     7         8     |
3812510 MCKENZIE 34                                       |     7         4     |
3812720 MENOKEN 33                                        |     7         4     |
3813870 NEW SALEM 7                                       |     7         8     |
3814340 NORTHWOOD 129                                     |     7         8     |
3814730 PAGE 80                                           |     7         8     |
3815670 REGAN 2                                           |     7         8     |
3816950 SIMS 8                                            |     7         8     |
3817760 STERLING 35                                       |     7         4     |
3818280 THOMPSON 61                                       |     7         8     |
3820130 WING 28                                           |     7         8     |
3904480 SOUTH-WESTERN CITY SD                             |     3         2     |
3904513 WORTHINGTON CITY SD                               |     3         2     |
3904588 PYMATUNING VALLEY LOCAL SD                        |     7         8     |
3904603 EASTERN LOCAL SD                                  |     7         8     |
3904627 SOUTHEASTERN LOCAL SD                             |     7         8     |
3904632 CLERMONT-NORTHEASTERN LOCAL S                     |     7         8     |
3904645 UNITED LOCAL SD                                   |     7         8     |
3904650 BUCKEYE CENTRAL LOCAL SD                          |     7         8     |
3904651 COLONEL CRAWFORD LOCAL SD                         |     7         8     |
3904674 BIG WALNUT LOCAL SD                               |     7         8     |
3904681 PERKINS LOCAL SD                                  |     6         7     |
3904684 AMANDA-CLEARCREEK LOCAL SD                        |     7         8     |
3904685 BERNE UNION LOCAL SD                              |     7         8     |
3904686 BLOOM CARROLL LOCAL SD                            |     7         8     |
3904687 FAIRFIELD UNION LOCAL SD                          |     2         8     |
3904707 PETTISVILLE LOCAL SD                              |     7         3     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
3904754 CONOTTON VALLEY UNION LOCAL S                     |     7         8     |
3904779 EDISON LOCAL SD                                   |     7         8     |
3904790 PERRY LOCAL SD                                    |     7         8     |
3904816 KEYSTONE LOCAL SD                                 |     7         8     |
3904825 JEFFERSON LOCAL SD                                |     7         3     |
3904862 MIAMI EAST LOCAL SD                               |     7         8     |
3904863 NEWTON LOCAL SD                                   |     7         8     |
3904946 PLYMOUTH LOCAL SD                                 |     7         8     |
3904966 WHEELERSBURG LOCAL SD                             |     6         7     |
3904994 SANDY VALLEY LOCAL SD                             |     7         8     |
3905000 MANCHESTER LOCAL SD                               |     7         3     |
3905001 GREEN LOCAL SD                                    |     7         3     |
3905009 BLOOMFIELD-MESPO LOCAL SD                         |     7         4     |
3905017 JOSEPH BADGER LOCAL SD                            |     7         4     |
3905048 FORT FRYE LOCAL SD                                |     7         8     |
3905049 FRONTIER LOCAL SD                                 |     7         8     |
3905051 WOLF CREEK LOCAL SD                               |     7         4     |
3905112 JEFFERSON COUNTY JVSD                             |     7         8     |
3906349 PORTAGE LAKES JVSD                                |     7         3     |
3906351 CENTRAL OHIO JVSD                                 |     7         8     |
3910018 WARREN LOCAL SD                                   |     7         4     |
4003300 ASHER                                             |     7         8     |
4003450 AVANT                                             |     7         8     |
4003570 BARNSDALL                                         |     7         8     |
4004680 BLANCHARD                                         |     7         8     |
4005160 BOWRING                                           |     7         3     |
4005850 BURBANK                                           |     7         8     |
4006030 BYARS                                             |     7         8     |
4006120 CACHE                                             |     7         8     |
4006240 CALUMET                                           |     7         8     |
4007320 CHATTANOOGA                                       |     7         8     |
4007380 CHELSEA                                           |     7         8     |
4007710 CIMARRON                                          |     7         8     |
4008790 COVINGTON-DOUGLAS                                 |     7         8     |
4008940 COYLE                                             |     7         8     |
4009000 CRESCENT                                          |     7         8     |
4009750 DEPEW                                             |     7         8     |
4009870 DIBBLE                                            |     7         8     |
4010170 DRUMMOND                                          |     7         8     |
4010500 EARLSBORO                                         |     7         8     |
4010710 ELGIN                                             |     7         8     |
4011700 FLETCHER                                          |     7         8     |
4012090 FOYIL                                             |     7         8     |
4012390 GANS                                              |     7         8     |
4012420 GARBER                                            |     7         8     |
4012630 GERONIMO                                          |     7         8     |
4012900 GORE                                              |     7         8     |
4013600 GYPSY                                             |     7         8     |
4014970 HOMINY                                            |     7         8     |
4015420 INDIAHOMA                                         |     7         8     |
4015480 INOLA                                             |     7         8     |
4016170 KELLYVILLE                                        |     7         8     |
4016500 KIEFER                                            |     7         8     |
4016740 KREMLIN-HILLSDALE                                 |     7         8     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
4017700 LIBERTY                                           |     7         8     |
4017760 LIBERTY                                           |     7         3     |
4017820 GUM SPRINGS                                       |     7         8     |
4018630 LUTHER                                            |     7         8     |
4018660 MACOMB                                            |     7         8     |
4018840 MANNFORD                                          |     7         8     |
4018900 MAPLE                                             |     7         8     |
4018960 MARBLE CITY                                       |     7         8     |
4019290 MAUD                                              |     7         8     |
4019560 MC LOUD                                           |     7         8     |
4020010 MILFAY                                            |     7         3     |
4020550 MOUNDS                                            |     7         8     |
4020910 MULHALL-ORLANDO                                   |     7         8     |
4022560 OILTON                                            |     7         8     |
4022620 OKAY                                              |     7         8     |
4023040 OOLOGAH-TALALA                                    |     7         8     |
4024510 PIONEER-PLEASANT VALE                             |     7         8     |
4025170 PRUE                                              |     7         8     |
4026310 ROLAND                                            |     7         8     |
4027630 SHIDLER                                           |     7         8     |
4028170 SPERRY                                            |     7         8     |
4028590 STERLING                                          |     7         8     |
4030048 WOODLAND                                          |     7         8     |
4030197 PORTER CONSOLIDATED                               |     7         8     |
